company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
TELUS,Canada,"  Someone who has successfully built, lead, supported and mentored a technical digital delivery team including designers, technologists, and data practitioners.",ui ux designer,"Director, Home Solutions Digital Experience",full-time,"Remote in Vancouver, BC",2022-08-16,3.9,
EY,Canada,"  Develop exceptional graphics and creative concepts for a variety of different projects including eLearning, blended learning, gaming, videos, micro-learning,…",ui ux designer,EY Learning Services - Graphic Designer - Senior Consultant,,"Remote in Halifax, NS",2022-07-17,4.0,
Stryker,Canada,  Understand and follow proper procedures and best practices; work with senior designers to improve them. Take direction as needed from senior designers and R&amp;D…,ui ux designer,Systems R&amp;D Co-op: UX and UI Design,internship,"Burnaby, BC",2022-07-17,3.8,
Skillsearch Limited,Canada,"  Skillsearch is helping a gaming company find a full-time UX Designer, and the role comes with an attractive salary and benefits package.",ui ux designer,Senior UX Designer,full-time,"Toronto, ON",2022-08-06,,
FatFish,Canada,"  Développer des maquettes fonctionnelles adaptées pour mobiles et tablettes. Créativité, souci du détail, sens du design et de l'ergonomie web.",ui ux designer,Designer web UX/UI &amp; concepteur graphique,,"Longueuil, QC",2022-07-17,,
Conexus Credit Union,Canada,  We’re looking for an effective communicator with an agile mindset to come on board as our Agile Analyst. In this role you will work collaboratively as part of a…,ui ux designer,Agile Analyst,undefined,"Regina, SK",2022-08-03,3.4,65400-81750
S&amp;P Global,Canada,"  Markit Digital is dedicated to the delivery and presentation of financial data, transforming complex information into elegant user experiences.",ui ux designer,Senior Front-End Designer (Remote/Hybrid Optional),undefined,"Remote in London, ON",2022-07-17,3.9,75000-130000
Intellex Systems Group,Canada,"  Keywords: UX Designer, UI designer, UX/UI designer, service designer, user experience designer, user interface designer, human-centred design, human interface…",ui ux designer,Front End Designer,full-time,"Temporarily Remote in Edmonton, AB",2022-08-06,,
Recollective Inc.,Canada,"  Reporting to the Chief Product Officer, the Interaction Designer will design and prototype concepts that adhere to Recollective’s design principles.",ui ux designer,Interaction Designer,,"Remote in Ottawa, ON",2022-08-10,,
LeadFox,Canada,"  Présent principalement en Europe et au Canada, Leadfox commercialise son logiciel marketing tout-en-un aux PME et aux agences dans les marchés principalement…",ui ux designer,"Designer Web Senior, Sherbrooke (ou Télétravail)",full-time,"Remote in Sherbrooke, QC",2022-07-27,,
BMO Financial Group,Canada,  Work with UI/UX designers to ensure technical feasibility of their designs. BMO is looking for an experienced Senior Frontend Developer with extensive Angular…,ui ux designer,Frontend Developer Angular (Remote),full-time,"Remote in Toronto, ON",2022-07-17,3.8,
Everbridge,Canada,"  Collaborate with multi-disciplinary teams to define information architecture, wireframes and mockups that adhere to UX best practices.",ui ux designer,Senior UI/UX Designer,full-time,"Montréal, QC+2 locations",2022-07-22,,
Yelp,Canada,  We're looking for a Lead Product Designer with passion for Design Systems ready to empower designers and developers to drive Yelp’s strategic design vision.,ui ux designer,Lead Product Designer - Foundations (Remote),full-time,"Remote in Greater Toronto Area, ON",2022-07-17,3.4,
Scotiabank,Canada,"  As a Digital Product Manager on Customer Onboarding, Segments and Welcome team, the ideal candidate will develop a compelling product vision, strategy, roadmap,…",ui ux designer,"Product Manager, Scotia Digital",,"Remote in Toronto, ON",2022-08-16,3.9,
Ionixx Technologies,Canada,"  Proactively engage with multiple project stakeholders, including product managers, engineers, and other designers, in drafting and brainstorming initial…",ui ux designer,Senior UX Designer,,"Toronto, ON",2022-07-17,,
Beshnas,Canada,  Enhancing UX and UI by working closely with designers and Backend developers. Optimize application for maximum speed and scalability.,ui ux designer,Internship for Front End Developer,,Remote,2022-07-17,,
Sumo Digital Ltd,Canada,  Produce UI art assets while working alongside game designers and art direction. Your previous roles may have included some feature or product ownership giving…,ui ux designer,Senior UI Designer,full-time,"Vancouver, BC",2022-07-23,,
Exagens,Canada,"  We are looking for a creative graphic designer with a strong understanding of how to visually tell a story. In this role, you will be supporting vision design…",ui ux designer,Senior Graphic Designer,full-time,"Montréal, QC",2022-07-17,,
ZeniMax Media Inc.,Canada,"  S'appuyer fortement sur Photoshop, Flash et les scripts AS3 pour mettre en œuvre de nouvelles ressources et de nouveaux designs afin de créer des interfaces…",ui ux designer,Concepteur.trice UI/UX / UI/UX Designer,full-time,"Montréal, QC",2022-07-17,,
AbCellera,Canada,"  You'll join a team of software developers, machine learning engineers, data scientists, mechanical engineers, biochemists and physicists - all working together…",ui ux designer,Senior UX Designer,,"Vancouver, BC",2022-07-17,,
Rangle,Canada,  1+ years of experience leading designers. Mentor designers and interview design team candidates. A passion for mentoring and coaching other designers.,ui ux designer,Design Lead,full-time,"Toronto, ON",2022-08-11,3.5,
