company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Eppendorf,USA,  Responsible for Designing and Implementing user interface and controls software including embedded microcontroller firmware lab bioprocess products.,software engineer,Software Engineer I,full-time,"Enfield, CT 06082",2022-08-05,3.3,
Rolls-Royce,USA,"  As a Test and Measurement Software Engineer for Rolls-Royce, you’ll provide the capability to test products at system, sub system, module and component level,…",software engineer,Test &amp; Measurement Software Engineer,full-time,"Hybrid remote in Indianapolis, IN",2022-08-11,4.0,
Welcome Homes,USA,"  Experience: Ruby on Rails: 3-5 years (Preferred). 3-5 years building Ruby on Rails web applications. A record of pursuing self-directed side projects, research,…",software engineer,Software Engineer (Ruby on Rails),undefined,"New York, NY 10010 (NoMad area)",2022-07-17,,150000-175000
Envision,USA,  Primary skill will be Power BI with Teradata. Client is undergoing a large Dynamics implementation using a 3rd party integrator to replace a variety of legacy…,software engineer,MS Dynamics Engineer,contract,+10 locationsRemote,2022-07-17,3.6,
UC San Diego,USA,"  Senior level candidates will act as the technical leader for the responsibilities listed above as well as design, analyze and apply complex data analysis to…",software engineer,Software Engineer,contract,"San Diego, CA 92093 (Torrey Pines area)",2022-07-21,4.2,
ClimateAI,USA,"  1-2 years proven experience as a software developer. Strive for excellence in software craftsmanship, and collaborate with peers to improve software design.",software engineer,Software Engineer – Frontend,,Remote,2022-07-17,,
"O'Neil Global Advisors, Inc.",USA,  Knowledge of AWS or similar cloud-based infrastructure and/or developer tools. Preferably a full-stack engineer using middle tier applications in JAVA and…,software engineer,Software Engineer II,,"Remote in Los Angeles, CA 90066",2022-07-30,,
Harvard University,USA,"  Ability to implement and test software independently. Experience or training with software versioning and testing. 00 - Non Union, Exempt or Temporary.",software engineer,Software/Data Engineer,full-time,"Temporarily Remote in Boston, MA",2022-07-17,4.3,
"JPMorgan Chase Bank, N.A.",USA,"  Your expertise in analyzing complex data systems, anticipating problems, and finding ways to mitigate risk, will be key in leading a high-performing team to…",software engineer,Middleware/Messaging Infrastructure Engineer/SRE,full-time,"Plano, TX+6 locations",2022-08-16,3.8,
"USfalcon, Inc.",USA,  Required: 2 years of technical experience in a software engineer-related field. Assist other Test Analysts by reviewing and providing software tools to assist…,software engineer,Software Engineer,undefined,"Aurora, CO+2 locations",2022-07-17,4.2,110000-125000
HAProxy Technologies,USA,"  Our department’s mission is to develop high-performance, high-quality intuitive user interfaces to meet and exceed our customers’ expectations.",software engineer,Software Engineer (Frontend/JS),,Remote,2022-07-17,,
Creare,USA,"  Demonstrated proficiency in an R&amp;D environment; expertise with two or more of the following: Python, C/C++, Java, Typescript, Flutter, TensorFlow, OpenCV,…",software engineer,R&amp;D Software Engineer,full-time,"Hanover, NH 03755+1 location",2022-07-17,,
Plectica,USA,"  Systems Thinking is an increasingly popular method of analysis and problem solving, widely applicable in industry, government, not-for-profit, education,…",software engineer,Junior Front End / Full Stack Software Engineer,,"Remote in New York, NY+1 location",2022-07-17,,
"Flexera Software, Inc.",USA,"  Actively participate in an agile software development life-cycle, decomposing requirements, documenting and discussing the design, estimation and implementation…",software engineer,Software Engineer,full-time,"Santa Barbara, CA+1 location",2022-07-17,3.6,
Premise,USA,"  Produce high-quality, maintainable code using Node.js and Python to develop, scale, and maintain our APIs and data processing pipelines for a geospatial…",software engineer,Software Engineer,full-time,"Washington, DC+1 location",2022-07-17,4.6,
"Liquid Robotics, a Boeing Company",USA,  Work with stakeholders and senior engineers to refine requirements as needed. Work within an Agile team to define and develop shoreside software solutions.,software engineer,Software Engineer – Vehicle systems,,+3 locationsRemote,2022-07-17,,
